timestamp,percentage,depth,notional
2024-11-06 00:16:02,4,201925006.00000000,3664738.57627600
2024-11-06 00:16:02,5,214605963.00000000,3902284.62314200
2024-11-06 00:16:31,-5,305764403.00000000,5380359.53429200
2024-11-06 00:16:31,-4,272727294.00000000,4814822.74867500
2024-11-06 00:16:31,-3,237994307.00000000,4214137.08747300
2024-11-06 00:16:31,-2,185436280.00000000,3295554.20239300
2024-11-06 00:16:31,-1,113797786.00000000,2030027.89623400
2024-11-06 00:16:31,1,104446406.00000000,1879207.02603300
2024-11-06 00:16:31,2,147847298.00000000,2668000.29903100
2024-11-06 00:16:31,3,180523935.00000000,3268657.57845700
2024-11-06 00:16:31,4,203826779.00000000,3700528.53055100
2024-11-06 00:16:31,5,216612928.00000000,3940042.93583900
2024-11-06 00:17:02,-5,320898458.00000000,5653134.92051600
2024-11-06 00:17:02,-4,288120546.00000000,5091883.01264000
2024-11-06 00:17:02,-3,251774558.00000000,4462922.06196600
2024-11-06 00:17:02,-2,201735565.00000000,3588126.71679100
2024-11-06 00:17:02,-1,126300330.00000000,2255057.03066500
2024-11-06 00:17:02,1,109498252.00000000,1971613.00067200
2024-11-06 00:17:02,2,147347473.00000000,2660125.63951200
2024-11-06 00:17:02,3,180230572.00000000,3264856.40284200
2024-11-06 00:17:02,4,203636503.00000000,3698972.93814800
2024-11-06 00:17:02,5,215859597.00000000,3928195.55612500
2024-11-06 00:17:32,-5,317522649.00000000,5597384.67565200
2024-11-06 00:17:32,-4,282301910.00000000,4993753.16993800
2024-11-06 00:17:32,-3,248960801.00000000,4416295.64339300
2024-11-06 00:17:32,-2,197651924.00000000,3518447.74314800
2024-11-06 00:17:32,-1,122259864.00000000,2185148.13108600
2024-11-06 00:17:32,1,104643116.00000000,1885403.09879100
2024-11-06 00:17:32,2,148411343.00000000,2682107.24622100
2024-11-06 00:17:32,3,180554332.00000000,3273837.56990100
2024-11-06 00:17:32,4,204694431.00000000,3721860.89014600
2024-11-06 00:17:32,5,216363983.00000000,3940847.01436900
2024-11-06 00:18:04,-5,301166823.00000000,5310015.34646500
2024-11-06 00:18:04,-4,265129910.00000000,4691850.88008600
2024-11-06 00:18:04,-3,226001650.00000000,4013023.22068900
2024-11-06 00:18:04,-2,178677141.00000000,3183636.37219500
2024-11-06 00:18:04,-1,110419120.00000000,1975185.90642700
2024-11-06 00:18:04,1,97902159.00000000,1766588.56897800
2024-11-06 00:18:04,2,134288255.00000000,2429933.94694800
2024-11-06 00:18:04,3,168598333.00000000,3062398.68918800
2024-11-06 00:18:04,4,191156172.00000000,3481720.80894400
2024-11-06 00:18:04,5,201141088.00000000,3669251.68587100
2024-11-06 00:18:30,-5,309925862.00000000,5467804.16304600
2024-11-06 00:18:30,-4,274171950.00000000,4854377.04041600
2024-11-06 00:18:30,-3,235886455.00000000,4190177.40882400
2024-11-06 00:18:30,-2,185705480.00000000,3310397.21177600
2024-11-06 00:18:30,-1,119913568.00000000,2145270.20927300
2024-11-06 00:18:30,1,104611916.00000000,1887747.44546600
2024-11-06 00:18:30,2,139337198.00000000,2520713.64301100
2024-11-06 00:18:30,3,174667696.00000000,3171926.79422500
2024-11-06 00:18:30,4,197717783.00000000,3600410.36215400
2024-11-06 00:18:30,5,207879280.00000000,3791262.47192800
2024-11-06 00:19:00,-5,301531411.00000000,5321106.08905400
2024-11-06 00:19:00,-4,263759428.00000000,4672723.78800200
2024-11-06 00:19:00,-3,229446618.00000000,4077089.46621100
2024-11-06 00:19:00,-2,177064298.00000000,3158590.99018400
2024-11-06 00:19:00,-1,117368965.00000000,2100934.09671000
2024-11-06 00:19:00,1,107222059.00000000,1936119.86297900
2024-11-06 00:19:00,2,142736300.00000000,2583848.83520100
2024-11-06 00:19:00,3,176196725.00000000,3200776.50918600
2024-11-06 00:19:00,4,200077094.00000000,3644991.69627500
2024-11-06 00:19:00,5,210091460.00000000,3833070.33751300
2024-11-06 00:19:31,-5,296998004.00000000,5244828.19492200
2024-11-06 00:19:31,-4,258752947.00000000,4587585.53810300
2024-11-06 00:19:31,-3,225943851.00000000,4017435.76931500
2024-11-06 00:19:31,-2,174363886.00000000,3112184.94233100
2024-11-06 00:19:31,-1,110678436.00000000,1982858.66873200
2024-11-06 00:19:31,1,105439836.00000000,1905305.57429300
2024-11-06 00:19:31,2,141976270.00000000,2572532.52841900
2024-11-06 00:19:31,3,173535210.00000000,3155159.10022100
2024-11-06 00:19:31,4,196330096.00000000,3579559.04219200
2024-11-06 00:19:31,5,206374984.00000000,3768412.06026600
2024-11-06 00:20:03,-5,304211457.00000000,5377748.81232300
2024-11-06 00:20:03,-4,267554642.00000000,4747575.09791800
2024-11-06 00:20:03,-3,231088275.00000000,4113605.30380300
2024-11-06 00:20:03,-2,180278758.00000000,3221069.28937800
2024-11-06 00:20:03,-1,116192850.00000000,2083656.14751800
2024-11-06 00:20:03,1,106637453.00000000,1928660.16849400
2024-11-06 00:20:03,2,146942108.00000000,2665442.95819400
2024-11-06 00:20:03,3,180987792.00000000,3294628.36482000
2024-11-06 00:20:03,4,205440508.00000000,3750242.86371100
2024-11-06 00:20:03,5,216305938.00000000,3954617.65425100
2024-11-06 00:20:31,-5,309226392.00000000,5462667.54561700
2024-11-06 00:20:31,-4,272701252.00000000,4835391.96228700
2024-11-06 00:20:31,-3,240890164.00000000,4283138.11118700
2024-11-06 00:20:31,-2,193307124.00000000,3448364.45303400
2024-11-06 00:20:31,-1,121555212.00000000,2176072.07608400
2024-11-06 00:20:31,1,103132398.00000000,1862540.79896700
2024-11-06 00:20:31,2,140116372.00000000,2537248.81116700
2024-11-06 00:20:31,3,175055708.00000000,3181664.54415200
2024-11-06 00:20:31,4,202904323.00000000,3699738.67249600
2024-11-06 00:20:31,5,215480320.00000000,3935849.53481800
2024-11-06 00:21:01,-5,304288936.00000000,5373324.76110000
2024-11-06 00:21:01,-4,269863155.00000000,4782439.73628800
2024-11-06 00:21:01,-3,236090722.00000000,4196424.85025400
2024-11-06 00:21:01,-2,189056483.00000000,3371507.01747100
2024-11-06 00:21:01,-1,118089866.00000000,2113589.15285100
2024-11-06 00:21:01,1,105387920.00000000,1903052.97014900
2024-11-06 00:21:01,2,138450441.00000000,2506115.50035700
2024-11-06 00:21:01,3,175552524.00000000,3190151.67470200
2024-11-06 00:21:01,4,201879607.00000000,3679786.18513500
2024-11-06 00:21:01,5,216354802.00000000,3951408.64038800
2024-11-06 00:21:31,-5,308645369.00000000,5452429.14500300
2024-11-06 00:21:31,-4,272548840.00000000,4832607.62106100
2024-11-06 00:21:31,-3,241537942.00000000,4294249.58475600
2024-11-06 00:21:31,-2,195590104.00000000,3488317.68630000
2024-11-06 00:21:31,-1,120341930.00000000,2154126.18102400
2024-11-06 00:21:31,1,108724351.00000000,1963575.39799200
2024-11-06 00:21:31,2,142721929.00000000,2583932.25999400
2024-11-06 00:21:31,3,175504550.00000000,3188644.62768200
2024-11-06 00:21:31,4,200519260.00000000,3654047.66404000
2024-11-06 00:21:31,5,214543476.00000000,3917240.00337300
2024-11-06 00:22:00,-5,312614004.00000000,5522114.78516900
2024-11-06 00:22:00,-4,279322806.00000000,4950902.47428800
2024-11-06 00:22:00,-3,246026969.00000000,4373379.10584400
